symbol,l1_name,in_date,out_date,classification_version,classification_effective_date
000001,银行,19910403,,SW2021,2021-07-30
000002,房地产,19910129,,SW2021,2021-07-30
000003,综合,19910415,,SW2021,2021-07-30
000004,房地产,19891223,20081230,SW2021,2021-07-30
000004,医药生物,20081231,20210610,SW2021,2021-07-30
000004,计算机,20210611,20210729,SW2021,2021-07-30
000004,计算机,20210730,,SW2021,2021-07-30
000005,房地产,19901210,20170628,SW2021,2021-07-30
000005,环保,20170629,,SW2021,2021-07-30
000006,房地产,19920427,20150929,SW2021,2021-07-30
000006,房地产,20150930,,SW2021,2021-07-30
000007,家用电器,19920413,20060831,SW2021,2021-07-30
000007,房地产,20060901,20090527,SW2021,2021-07-30
000007,有色金属,20130701,20140630,SW2021,2021-07-30
000007,社会服务,20140701,20170628,SW2021,2021-07-30
000007,综合,20170629,20190723,SW2021,2021-07-30
000007,商贸零售,20190724,,SW2021,2021-07-30
000008,综合,19920507,20121231,SW2021,2021-07-30
000008,社会服务,20130104,20150630,SW2021,2021-07-30
000008,机械设备,20150701,,SW2021,2021-07-30
000009,房地产,19910625,20121231,SW2021,2021-07-30
000009,综合,20130104,20210729,SW2021,2021-07-30
000009,电力设备,20210730,,SW2021,2021-07-30
000010,商贸零售,19951027,20070629,SW2021,2021-07-30
000010,综合,20070702,20150630,SW2021,2021-07-30
000010,建筑装饰,20150701,,SW2021,2021-07-30
000011,房地产,19920330,,SW2021,2021-07-30
000012,建筑材料,19920228,,SW2021,2021-07-30
000013,综合,19911211,20030430,SW2021,2021-07-30
000013,基础化工,20030512,,SW2021,2021-07-30
000014,房地产,19911219,,SW2021,2021-07-30
000015,综合,19920625,,SW2021,2021-07-30
000016,家用电器,19920327,20240729,SW2021,2021-07-30
000016,家用电器,20240730,,SW2021,2021-07-30
000017,汽车,19920331,20220728,SW2021,2021-07-30
000017,纺织服饰,20220729,,SW2021,2021-07-30
000018,纺织服饰,19920616,20121231,SW2021,2021-07-30
000018,综合,20130104,20150630,SW2021,2021-07-30
000018,房地产,20150701,20160524,SW2021,2021-07-30
000018,建筑装饰,20160525,20180712,SW2021,2021-07-30
000018,建筑装饰,20180713,,SW2021,2021-07-30
000019,商贸零售,19921012,20210729,SW2021,2021-07-30
000019,农林牧渔,20210730,,SW2021,2021-07-30
000020,电子,19920428,,SW2021,2021-07-30
000021,电子,19940202,,SW2021,2021-07-30
000023,建筑材料,19930429,20210729,SW2021,2021-07-30
000023,建筑材料,20210730,,SW2021,2021-07-30
000024,交通运输,19930315,20020430,SW2021,2021-07-30
000024,房地产,20020508,,SW2021,2021-07-30
000025,汽车,19930621,20230703,SW2021,2021-07-30
000025,综合,20230704,,SW2021,2021-07-30
000026,纺织服饰,19930603,,SW2021,2021-07-30
000027,公用事业,19930903,,SW2021,2021-07-30
000028,医药生物,19930505,,SW2021,2021-07-30
000029,房地产,19930915,,SW2021,2021-07-30
000030,综合,19930628,20130628,SW2021,2021-07-30
000030,汽车,20130701,,SW2021,2021-07-30
000031,房地产,19931008,20210729,SW2021,2021-07-30
000031,房地产,20210730,,SW2021,2021-07-30
000032,通信,19931028,20220728,SW2021,2021-07-30
000032,建筑装饰,20220729,,SW2021,2021-07-30
000033,社会服务,19940103,,SW2021,2021-07-30
000034,计算机,19931018,,SW2021,2021-07-30
000035,环保,19940408,,SW2021,2021-07-30
000036,房地产,19940617,,SW2021,2021-07-30
000037,公用事业,19940701,20220728,SW2021,2021-07-30
000037,公用事业,20220729,,SW2021,2021-07-30
000038,房地产,19940808,20180615,SW2021,2021-07-30
000038,综合,20180619,,SW2021,2021-07-30
000039,机械设备,19940408,,SW2021,2021-07-30
000040,综合,19940808,20100107,SW2021,2021-07-30
000040,房地产,20100108,20171115,SW2021,2021-07-30
000040,公用事业,20171116,,SW2021,2021-07-30
000042,房地产,19940921,,SW2021,2021-07-30
000045,纺织服饰,20111010,20131231,SW2021,2021-07-30
000045,电子,20140102,,SW2021,2021-07-30
000046,房地产,19940912,20201130,SW2021,2021-07-30
000046,房地产,20201201,,SW2021,2021-07-30
000047,房地产,19941021,,SW2021,2021-07-30
000048,房地产,19941101,20250808,SW2021,2021-07-30
000048,农林牧渔,20250811,,SW2021,2021-07-30
000049,房地产,19950320,20070629,SW2021,2021-07-30
000049,电子,20070702,20121228,SW2021,2021-07-30
000049,电力设备,20121231,,SW2021,2021-07-30
000050,电子,19950315,,SW2021,2021-07-30
000055,综合,19960415,20110930,SW2021,2021-07-30
000055,建筑装饰,20111010,20210729,SW2021,2021-07-30
000055,建筑材料,20210730,,SW2021,2021-07-30
000056,房地产,19960708,20210729,SW2021,2021-07-30
000056,房地产,20210730,,SW2021,2021-07-30
000058,电子,19961226,20110930,SW2021,2021-07-30
000058,商贸零售,20111010,,SW2021,2021-07-30
000059,基础化工,19970130,20091230,SW2021,2021-07-30
000059,石油石化,20091231,,SW2021,2021-07-30
000060,有色金属,19970123,,SW2021,2021-07-30
000061,商贸零售,19970110,20131230,SW2021,2021-07-30
000061,商贸零售,20131231,,SW2021,2021-07-30
000062,家用电器,19970130,20090527,SW2021,2021-07-30
000062,电子,20090601,20110930,SW2021,2021-07-30
000062,电子,20111010,,SW2021,2021-07-30
000063,通信,19971118,,SW2021,2021-07-30
000065,建筑装饰,19980605,,SW2021,2021-07-30
000066,计算机,19970626,,SW2021,2021-07-30
000068,电子,19970611,20121231,SW2021,2021-07-30
000068,综合,20130104,20170628,SW2021,2021-07-30
000068,环保,20170629,,SW2021,2021-07-30
000069,社会服务,19970910,20071228,SW2021,2021-07-30
000069,房地产,20080102,20210729,SW2021,2021-07-30
000069,房地产,20210730,,SW2021,2021-07-30
000070,电子,20000424,20110930,SW2021,2021-07-30
000070,通信,20111010,,SW2021,2021-07-30
000078,医药生物,19981218,,SW2021,2021-07-30
000088,交通运输,20210730,20211111,SW2021,2021-07-30
000088,交通运输,20211112,,SW2021,2021-07-30
000089,交通运输,19980420,20210728,SW2021,2021-07-30
000089,交通运输,20210729,,SW2021,2021-07-30
000090,房地产,19990721,,SW2021,2021-07-30
000096,石油石化,20000724,,SW2021,2021-07-30
000099,交通运输,20000731,20210729,SW2021,2021-07-30
000099,交通运输,20210730,,SW2021,2021-07-30
000100,家用电器,20040129,20190419,SW2021,2021-07-30
000100,电子,20190422,,SW2021,2021-07-30
000150,房地产,20000807,20150630,SW2021,2021-07-30
000150,医药生物,20150701,,SW2021,2021-07-30
000151,综合,20000906,20100930,SW2021,2021-07-30
000151,商贸零售,20101008,,SW2021,2021-07-30
000153,医药生物,20000918,,SW2021,2021-07-30
000155,基础化工,20000926,20170628,SW2021,2021-07-30
000155,商贸零售,20170629,20190723,SW2021,2021-07-30
000155,公用事业,20190724,,SW2021,2021-07-30
000156,基础化工,20000906,20110930,SW2021,2021-07-30
000156,传媒,20111010,,SW2021,2021-07-30
000157,机械设备,20001012,,SW2021,2021-07-30
000158,纺织服饰,20000724,20170628,SW2021,2021-07-30
000158,计算机,20170629,,SW2021,2021-07-30
000159,医药生物,20000926,20070629,SW2021,2021-07-30
000159,石油石化,20070702,20220728,SW2021,2021-07-30
000159,建筑装饰,20220729,20240729,SW2021,2021-07-30
000159,电力设备,20240730,,SW2021,2021-07-30
000166,非银金融,20150119,,SW2021,2021-07-30
000301,公用事业,20000424,20190723,SW2021,2021-07-30
000301,基础化工,20190724,20210729,SW2021,2021-07-30
000301,石油石化,20210730,,SW2021,2021-07-30
000333,家用电器,20130118,,SW2021,2021-07-30
000338,汽车,20070430,,SW2021,2021-07-30
000400,电力设备,19970409,,SW2021,2021-07-30
000401,建筑材料,19960614,,SW2021,2021-07-30
000402,房地产,19960606,20210729,SW2021,2021-07-30
000402,房地产,20210730,,SW2021,2021-07-30
000403,医药生物,19960628,,SW2021,2021-07-30
000404,家用电器,19960619,,SW2021,2021-07-30
000405,有色金属,19960620,,SW2021,2021-07-30
000406,石油石化,19960628,,SW2021,2021-07-30
000407,基础化工,20140102,20171214,SW2021,2021-07-30
000407,公用事业,20171215,,SW2021,2021-07-30
000408,商贸零售,19960628,20180712,SW2021,2021-07-30
000408,基础化工,20210730,20230703,SW2021,2021-07-30
000408,有色金属,20230704,,SW2021,2021-07-30
000409,综合,20121231,20220728,SW2021,2021-07-30
000409,计算机,20220729,,SW2021,2021-07-30
000410,机械设备,19960718,,SW2021,2021-07-30
000411,纺织服饰,19960626,20020429,SW2021,2021-07-30
000411,商贸零售,20020430,20110107,SW2021,2021-07-30
000411,医药生物,20110110,,SW2021,2021-07-30
000412,综合,19960715,,SW2021,2021-07-30
000413,电子,19960925,,SW2021,2021-07-30
000415,非银金融,19960624,,SW2021,2021-07-30
000416,商贸零售,19960624,20180419,SW2021,2021-07-30
000416,非银金融,20180420,,SW2021,2021-07-30
000417,商贸零售,20170629,20230703,SW2021,2021-07-30
000417,商贸零售,20230704,,SW2021,2021-07-30
000418,家用电器,19970328,,SW2021,2021-07-30
000419,商贸零售,19960816,,SW2021,2021-07-30
000420,基础化工,19960802,,SW2021,2021-07-30
000421,综合,19960806,20171208,SW2021,2021-07-30
000421,公用事业,20171211,20230703,SW2021,2021-07-30
000421,综合,20230704,,SW2021,2021-07-30
000422,基础化工,20170629,20220728,SW2021,2021-07-30
000422,基础化工,20220729,,SW2021,2021-07-30
000423,医药生物,19960729,,SW2021,2021-07-30
000425,机械设备,19960828,,SW2021,2021-07-30
000426,公用事业,19960828,20120629,SW2021,2021-07-30
000426,有色金属,20120702,,SW2021,2021-07-30
000428,社会服务,19960808,,SW2021,2021-07-30
000429,交通运输,19980220,,SW2021,2021-07-30
000430,社会服务,19960829,,SW2021,2021-07-30
000488,轻工制造,20001120,,SW2021,2021-07-30
000498,基础化工,19970609,20130628,SW2021,2021-07-30
000498,建筑装饰,20130701,,SW2021,2021-07-30
000501,商贸零售,19921120,20170628,SW2021,2021-07-30
000501,商贸零售,20170629,,SW2021,2021-07-30
000502,社会服务,19910605,20030430,SW2021,2021-07-30
000502,房地产,20030512,20210729,SW2021,2021-07-30
000502,房地产,20210730,,SW2021,2021-07-30
000503,计算机,19921130,,SW2021,2021-07-30
000504,医药生物,19921208,,SW2021,2021-07-30
000505,房地产,19921221,20180712,SW2021,2021-07-30
000505,农林牧渔,20180713,,SW2021,2021-07-30
000506,房地产,20090105,20150630,SW2021,2021-07-30
000506,有色金属,20150701,20180615,SW2021,2021-07-30
000506,有色金属,20220729,,SW2021,2021-07-30
000507,综合,19930326,20110107,SW2021,2021-07-30
000507,交通运输,20210730,20230703,SW2021,2021-07-30
000507,公用事业,20230704,,SW2021,2021-07-30
000508,农林牧渔,19930430,,SW2021,2021-07-30
000509,综合,19930507,20110930,SW2021,2021-07-30
000509,建筑材料,20111010,20190723,SW2021,2021-07-30
000509,医药生物,20190724,20220728,SW2021,2021-07-30
000509,电子,20220729,,SW2021,2021-07-30
000510,基础化工,19930507,,SW2021,2021-07-30
000511,房地产,19930518,20131231,SW2021,2021-07-30
000511,基础化工,20140102,,SW2021,2021-07-30
000513,医药生物,19931028,,SW2021,2021-07-30
000514,房地产,19930712,,SW2021,2021-07-30
000515,基础化工,19930712,,SW2021,2021-07-30
000516,商贸零售,19930809,20190510,SW2021,2021-07-30
000516,医药生物,20190513,,SW2021,2021-07-30
000517,房地产,19890301,20080530,SW2021,2021-07-30
000517,房地产,20080602,,SW2021,2021-07-30
000518,医药生物,19930908,,SW2021,2021-07-30
000519,基础化工,19931008,20170628,SW2021,2021-07-30
000519,国防军工,20170629,,SW2021,2021-07-30
000520,交通运输,19931025,,SW2021,2021-07-30
000521,家用电器,19931018,,SW2021,2021-07-30
000522,医药生物,19931108,,SW2021,2021-07-30
000523,美容护理,19931108,20240729,SW2021,2021-07-30
000523,综合,20240730,,SW2021,2021-07-30
000524,社会服务,19931118,20180712,SW2021,2021-07-30
000524,社会服务,20180713,,SW2021,2021-07-30
000525,基础化工,19931028,,SW2021,2021-07-30
000526,农林牧渔,19920921,20000428,SW2021,2021-07-30
000526,房地产,20000508,20090930,SW2021,2021-07-30
000526,社会服务,20170629,,SW2021,2021-07-30
000527,家用电器,19931112,,SW2021,2021-07-30
000528,机械设备,19931118,,SW2021,2021-07-30
000529,综合,19931118,20190723,SW2021,2021-07-30
000529,传媒,20190724,20230511,SW2021,2021-07-30
000529,食品饮料,20230512,,SW2021,2021-07-30
000530,机械设备,19931208,,SW2021,2021-07-30
000531,公用事业,19940106,,SW2021,2021-07-30
000532,电子,19940103,20210729,SW2021,2021-07-30
000532,非银金融,20210730,,SW2021,2021-07-30
000533,电力设备,19940103,,SW2021,2021-07-30
000534,房地产,19940110,20200721,SW2021,2021-07-30
000534,医药生物,20200722,,SW2021,2021-07-30
000535,机械设备,19931130,,SW2021,2021-07-30
000536,电子,19931126,,SW2021,2021-07-30
000537,房地产,19931210,20220825,SW2021,2021-07-30
000537,公用事业,20220826,,SW2021,2021-07-30
000538,医药生物,19931215,,SW2021,2021-07-30
000539,公用事业,19931126,,SW2021,2021-07-30
000540,房地产,19931206,,SW2021,2021-07-30
000541,电子,20170629,20210729,SW2021,2021-07-30
000541,家用电器,20210730,,SW2021,2021-07-30
000542,通信,19931201,,SW2021,2021-07-30
000543,公用事业,19931220,,SW2021,2021-07-30
000544,环保,19931208,,SW2021,2021-07-30
000545,医药生物,19931215,20131231,SW2021,2021-07-30
000545,基础化工,20140102,20210729,SW2021,2021-07-30
000545,基础化工,20210730,,SW2021,2021-07-30
000546,房地产,19931110,20131231,SW2021,2021-07-30
000546,综合,20140102,20150630,SW2021,2021-07-30
000546,建筑材料,20150701,20240729,SW2021,2021-07-30
000546,环保,20240730,,SW2021,2021-07-30
000547,综合,19931130,20140630,SW2021,2021-07-30
000547,国防军工,20140701,20210729,SW2021,2021-07-30
000547,国防军工,20210730,,SW2021,2021-07-30
000548,交通运输,19931220,,SW2021,2021-07-30
000549,汽车,19931220,,SW2021,2021-07-30
000550,汽车,19931201,,SW2021,2021-07-30
000551,综合,19940106,20150630,SW2021,2021-07-30
000551,环保,20150701,,SW2021,2021-07-30
000552,煤炭,19940106,,SW2021,2021-07-30
000553,基础化工,19931203,,SW2021,2021-07-30
000554,石油石化,19931215,,SW2021,2021-07-30
000555,基础化工,19931206,20010427,SW2021,2021-07-30
000555,家用电器,20010430,20090527,SW2021,2021-07-30
000555,计算机,20090601,,SW2021,2021-07-30
000556,综合,19940525,,SW2021,2021-07-30
000557,交通运输,19940617,,SW2021,2021-07-30
